Read, קרא
"DocType's name should start with a letter and it can only consist of letters, numbers
SMTP Server, שרת SMTP
Select a DocType to make a new format, בחר סוג מסמך על מנת ליצור פורמט חדש
Details, פרטים
Main Section, החלק העיקרי
Standard Reports, דוחות סטנדרטיים
Add a New Role, הוסף תפקיד חדש
Password reset instructions have been sent to your email, הוראות לשינו הסיסמא נשלחו לתיבת הדואר האלקטרוני שלך
text-height, גובה הטקסט
align-justify, יישר לשני הצדדים
Timeline Field, שדה ציר הזמן
Password, סיסמא
Incorrect value: {0} must be {1} {2}, ערך שגוי: {0} חייב להיות {1} {2}
Totals, סכומים
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields
Request Timed Out, תם זמן הבקשה
Maximum Attachment Limit for this record reached., הגעת לממגבלה המקסימלית של צרופות לרשומה זו.
Sent or Received, נשלח או התקבל
Low, נמוך
Complete Registration, השלם רישום
Select Role, בחר תפקיד
Export not allowed. You need {0} role to export., לא ניתן לייצא. עליך להיות בתפקיד {0} על מנת לייצא.
{app_title}, {כותרת_היישום}
Permission Rules, כללי אישור
Add all roles, הוסף את כל התפקידים
DocType or Field, סוג מסמך או שדה
Stop, הפסק
Name cannot contain special characters like {0}, שם אינו יכול להכיל תווים מיוחדים כגון {0}
Unable to update event, לא ניתן לעדכן את האירוע
Home/Test Folder 1/Test Folder 3, בית/תיקיית ניסיון 1/תיקיית ניסיון 3
Submit an Issue, הגש הנפקה
Inverse, הפוך
Links, קישורים
Invalid Link, קישור לא חוקי
Warning, אזהרה
Comment Type, סוג התגובה
You can add dynamic properties from the document by using Jinja templating., תוכל להוסיף תכונות דינמיות מהמסמך באמצעות תבנית ג'ינג'ה.
There is some problem with the file url: {0}, יש בעיה עם כתובת הקובץ: {0}
Collapsible, פריק
Web Link, קישור אינטרנט
Print Format Help, עזרה בשימוש פורמט הדפסה
Beginning with, החל מ
"If you are uploading new records, ""Naming Series"" becomes mandatory
Select Document Type or Role to start., בחר את סוג המסמך או התפקיד על מנת להתחיל.
Text Align, יישור טקסט
Payments, תשלומים
Allocated To, הוקצה ל
Logged in, מחובר
New Custom Print Format, פורמט הדפסה מותאם אישית חדש
Perm Level, רמה הרשאות
Your organization name and address for the email footer., "שמך
Fraction Units, תת יחידה של המטבע
"""Team Members"" or ""Management""", 'חברי צוות' או 'ניהול'
For top bar, לסרגל העליון
The Condition '{0}' is invalid, התנאי '{0}' אינו חוקי
Portal Menu, תפריט פורטל
Notification, התראה
"Check columns to select, drag to set order."
This email was sent to {0} and copied to {1}, האימייל הזה נשלח ל-{0} ונשלח גם עותק ל-{1}
Use IMAP, IMAPהשתמש ב-
"""Parent"" signifies the parent table in which this row must be added", 'אב' מסמל את טבלת האב שבה יש להוסיף את השורה הזו
Repeat Till, חזור עד
Edit Properties, ערוך מאפיינים
There were errors while sending email. Please try again., היו שגיאות בעת שליחת דואר אלקטרוני. אנא נסה שוב.
Repeat this Event, חזור על אירוע זה
Postal Code, מיקוד
Landing Page, דף נחיתה
Unable to find attachment {0}, לא ניתן למצוא את הקובץ המצורף {0}
You need write permission to rename, יש צורך בהרשאת כתיבה על מנת לשנות את השם
old_parent, מקור_ישן
Is Your Company Address, האם כתובת החברה שלך
Attached To DocType, מצורף לסוג המסמך
Inbox, תיבת הדואר הנכנס
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)"
Assigned, הוקצה
Single Post (article)., הודעה אחת (מאמר).
"To add dynamic subject, use jinja tags like <div><pre><code>{{ doc.name }} Delivered</code></pre></div>"
Drag and Drop tool to build and customize Print Formats., גרור ושחרר כלי על מנת לבנות ולהתאים אישית את תבניות הדפסה.
No permission to '{0}' {1}, אין הרשאות ל'{0}'{1}
Birth Date, תאריך לידה
Amending, מתקן
Must specify a Query to run, יש לציין שאילתה על מנת להריץ
If user is the owner, אם המשתמש הוא הבעלים
Message Examples, דוגמאות להודעה
List a document type, רשום את סוג המסמך
Assignment, משימה
Last Modified By, השתנה לאחרונה על ידי
User Roles, תפקידי המשתמש
Defines workflow states and rules for a document., מגדיר מצב זרימת עבודה וכללים למסמך.
**Currency** Master, אשף ה**מטבע**
Contact Us Settings, הגדרות צור קשר
Total, סך
module name..., שם מודול ...
"Select target = ""_blank"" to open in a new page.", בחר יעד = 'דף ריק' לפתיחה בדף חדש.
In Filter, במסנן
Set User Permissions, הגדר הרשאות משתמש
"The application has been updated to a new version, please refresh this page"
"You need to have ""Share"" permission", תצטרך הרשאות 'שיתוף'
Ref DocType, הפניה ל-DOCTYPE
Archived, נשמר בארכיון
Is Private, האם פרטי
Standard, סטנדרטי
Enter Form Type, הזן את סוג הטופס
Domain, תחום
italic, נטוי
Error Snapshot, תמונת מצב שגיאה
JSON, JSON
"Set default format, page size
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger)."
This field will appear only if the fieldname defined here has value OR the rules are true (examples): myfield eval:doc.myfield=='My Value' eval:doc.age&gt;18, שדה זה יופיע רק אם לשם השדה המוגדר כאן יש ערך או כללים נכונים (הנה מספר דוגמאות): myfield eval: doc.myfield == 'ערך שלי&' eval: doc.age' 18
Select Columns, בחר עמודות
URL, כתובת האתר
City/Town, עיר / יישוב
Font Size, גודל גופן
Newsletter Manager, מנהל הניוזלטר
Check, בדוק
This role update User Permissions for a user, בעל תפקיד זה עדכן את הרשאות המשתמש למשתמש
Tree view not available for {0}, תצוגת עץ אינה זמינה עבור {0}
Default Incoming, הכנסות המוגדרות כברירת מחדל
Snapshot View, צלם תצוגה
Edit Format, ערוך פורמט
Ends on, מסתיים ב
"Repeats like ""aaa"" are easy to guess", חזרות כמו 'aaa' קלות לניחוש
Print Hide If No Value, הסתר הדפסה אם אין ערך
You are not allowed to send emails related to this document, אין באפשרותך לשלוח מיילים הקשורים למסמך זה
Change Password, שנה סיסמא
Test Runner, מריץ הבדיקות
Please enter the password, נא הזן את הסיסמה
Send Notification to, שלח התראה ל
"Show title in browser window as ""Prefix - title""", הצג בחלון הדפדפן כותרת כמו 'קידומת - כותרת'
Source, מקור
Soft-Bounced, המייל לא הגיע ליעדו
Property, נכס
Event and other calendars., אירועים ולוחות שנה נוספים.
Repeat On, חזור ב
Setup Wizard, אשף התקנה
{0}: Permission at level 0 must be set before higher levels are set, {0}: חייב להיות אישור מוגדר לרמה 0 לפני שניתן להגדיר רמות גבוהות יותר
Further nodes can be only created under 'Group' type nodes, ניתן ליצור ישויות נוספות רק תחת ישות מסוג 'קבוצה'
Tag, תג
Permanently Cancel {0}?, האם לבטל באופן קבוע את {0}?
Advanced Search, חיפוש מתקדם
Half Yearly, חצי שנתי
Attached To Name, מצורף לשם
No Data, אין נתונים
Eg. smsgateway.com/api/send_sms.cgi, לדוגמא. smsgateway.com/api/send_sms.cgi
1 minute ago, לפני דקה 1
Shop, חנות
"For Links, enter the DocType as range. For Select
Content Type, סוג תוכן
ban-circle, תמרור איסור
Session Expiry, פג תוקף הפעלה
just now, עכשיו
Client side script extensions in Javascript, הרחבות סקריפט צד לקוח ב-Javascript
Invalid login or password, התחברות או סיסמא לא חוקיות
Letter Head, נייר מכתבים
Brand HTML, ציין HTML
Workflow State, מצב זרימת עבודה
Left, עזב
Weekly, שבועי
text in document type, טקסט בסוג המסמך
chevron-right, שברון ימינה
bookmark, סימנייה
Set, הגדר
Can't identify open {0}. Try something else., אין אפשרות לזהות פתיחה {0}. נסה משהו אחר.
Task Name, שם המשימה
Purchase Manager, מנהל רכש
Parent Label, תווית מקור
Fieldname not set for Custom Field, שם השדה לא הוגדר כשדה מותאם אישית
Login Id is required, מזהה כניסה נדרש
Quarterly, רבעוני
Most Used, בשימוש נפוץ
Shipping, משלוח
Log of error during requests., יומן השגיאות במהלך בקשה.
To, ל
Option 3, אפשרות 3
Gantt, גאנט
You are not allowed to print this report, אינך רשאי להדפיס דוח זה
Setup, התקנה
Adds a custom field to a DocType, מוסיף שדה מותאם אישית לDOCTYPE
Email, דואר אלקטרוני
Previous, קודם
Label and Type, תווית וסוג
Blue, כחול
Port, כניסה
Mandatory:, חובה:
Subdomain, תחום משנה
Cannot edit cancelled document, לא ניתן לערוך מסמך שבוטל
Settings, הגדרות
Log of error on automated events (scheduler)., יומן רישום לשגיאות באירועים אוטומטיים (מתזמן).
Modules HTML, מודולים ל-HTML
In points. Default is 9., בנקודות. ברירת המחדל היא 9.
Please Duplicate this Website Theme to customize., אנא שכפל נושא אתר זה כדי להתאים אישית.
Traceback, עקוב
one of, אחד מ
Write, לכתוב
Categorize blog posts., סווג פוסטים מהבלוג.
Letter Head in HTML, נייר מכתבים ב- HTML
Test, מבחן
Query Report, דוח שאילתות
Saving, שמירה
{0}: Cannot set Cancel without Submit, {0}: לא ניתן להגדיר ביטול ללא הגשה
Route, מסלול
Verify, אמת
Scheduler Last Event, מתזמן את האירוע האחרון
You do not have enough permissions to access this resource. Please contact your manager to get access., אין לך מספיק הרשאות כדי לגשת למשאב זה. צור קשר עם המנהל שלך כדי לקבל גישה.
Default Letter Head, נייר מכתבים המוגדר כברירת מחדל
Insert Above, הכנס מעל
Password Updated, הסיסמא עודכנה
Footer Items, פריטים בכותרת התחתונה
Year, שנה
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish., "רק שדות חובה נחוצים לרשומות חדשות. אם תרצה
New value to be set, ערך חדש להגדרה
Note: Multiple sessions will be allowed in case of mobile device, הערה: מספר הפעלות תתאפשר במקרה של מכשיר נייד
Send alert if date matches this field's value, שלח התראה אם התאריך מתאים לערך השדה הזה
Attach Your Picture, צרף תמונה שלך
Group Label, כינוי הקבוצה
Web Page Link Text, טקסט קישור לדף האינטרנט
Try to avoid repeated words and characters, נסה להימנע מילות חוזרות ותווים חוזקים
Fieldtype, סוג השדה
Workflow Name, שם זרימת עבודה
Last Updated By, עדכון לאחרונה על ידי
You need to be in developer mode to edit a Standard Web Form, אתה צריך להיות במצב מפתחים על מנת לערוך טופס אינטרנט רגיל
If non standard port (e.g. 587), אם יציאה לא סטנדרטית (לדוגמא 587)
Slideshow Name, שם מצגת
Theme, נושא
Cannot delete standard field. You can hide it if you want, לא ניתן למחוק את השדה הסטנדרטי. תוכל להסתיר אותו אם תרצה
Reset Password Key, מפתח לאיפוס סיסמא
Relapsed, הוחזר
You, אתה
The first user will become the System Manager (you can change this later)., המשתמש הראשון יהפוך להיות מנהל המערכת (תוכל לשנות זאת בהמשך).
road, כביש
This form does not have any input, לטופס זה אין קלט
Cancelling, מבטל
Customize Form Field, שדה טופס בהתאמה אישית
Third Party Authentication, אימות צד שלישי
Update Value, עדכן ערך
Editing Row, עורך שורה
No Results, אין תוצאות
Refresh Form, רענן טופס
Receiver Parameter, פרמטרים למקבל
Workflow state represents the current state of a document., מצב זרימת העבודה מייצג את המצב הנוכחי של מסמך.
Report Builder reports are managed directly by the report builder. Nothing to do., דיווחי בונה הדוחות מנוהלים ישירות על ידי בונה הדוחות. אין מה לעשות בנידון.
Completed, הושלם
Address Template, תבנית כתובת
Not allowed to change {0} after submission, אסור לשנות {0} לאחר הגשה
Comment, תגובה
Add, הוסף
Please do not change the rows above {0}, נא לא לשנות את השורות מעל {0}
Web Form Field, שדה טופס אינטרנטי
Company Name, שם חברה
Start Date, תאריך ההתחלה
Query must be a SELECT, שאילתא חייבת להיות SELECT
Password not found, סיסמה לא נמצאה
More, עוד
"You can change Submitted documents by cancelling them and then, amending them."
Gender, מין
Field {0} is not selectable., שדה {0} הוא לא לבחירה.
Customize, התאמה אישית
Enter Email Recipient(s), הזן נמען/ים לדואר אלקטרוני
Background Workers, עובדי רקע
Please duplicate this to make changes, אנא שכפל זאת על מנת לבצע שינויים
Added, נוסף
Maximum {0} rows allowed, מותר להזין עד {0} שורות
Banner HTML, באנר HTML
Custom?, מותאם אישית?
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer, שמו של סוג המסמך (DOCTYPE) דף זה צריךלהיות מקושר. לדוגמהף ללקוחות
Delivery Status, סטטוס משלוח
Public, ציבורי
Widths can be set in px or %., ניתן להגדיר רוחב בpx או%.
Desktop Icon, סמל שולחן העבודה
Allow Comments, אפשר הערות
Copyright, כל הזכויות שמורות
{0} logged in, {0} מחובר
Document is only editable by users of role, המסמך ניתן לעריכה רק על ידי משתמשים בעלי תפקיד
Setting this Address Template as default as there is no other default, מגדיר תבנית כתובת זו כברירת מחדל כיוון שאין ברירת מחדל אחרת
To Do, לעשות
{0} minutes ago, לפני {0} דקות
star-empty, כוכב ריק
arrow-up, חץ למעלה
Use TLS, TLSב- השתמש
Phone, טלפון
Role Permissions, הרשאות תפקיד
Add Column, הוסף עמודה
{0} must be one of {1}, {0} חייב להיות אחד {1}
Dr, DR
Home Page, דף הבית
Print Hide, הסתר הדפסה
Cannot delete {0} as it has child nodes, לא יכול למחוק את {0} שכן יש לו תתי-ישויות
_doctype, _doctype
View Properties (via Customize Form), הצג נכסים (באמצעות טופס התאמה אישית)
Workflow Action, פעולה בזרימת עבודה
Assignment Complete, המשימה הושלמה
Tasks, משימות
Transition Rules, כללי מעבר
CSS, CSS
Is Mandatory Field, האם שדה חובה
Both DocType and Name required, DOCTYPE ושם נדרשים
Yes, כן
System and Website Users, משתמשי מערכת ואתר
minus, מינוס
Select, בחר
Run scheduled jobs only if checked, הפעל עבודות מתוכננות רק אם נבדקו
No {0} permission, אין {0} הרשאות
FavIcon, Favicon
Block Module, מודול ריק
Billing, חיוב
User {0} cannot be deleted, לא ניתן למחוק את משתמש {0}
Workflow Transition, מעבר זרימת עבודה
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`, טקסט שיוצג לקישור לדף אינטרנט אם לטופס זה יש דף אינטרנט. מסלול קישור יהיה באופן אוטומטי המבוסס על 'שם_הדף' ו'נתיב_מקור_של_האתר'
Male, זכר
Send Welcome Email, שלח הודעת ברוכים הבאים
Custom Format, פורמט מותאם אישית
Portal, פורטל
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type."
Ctrl + Down, Ctrl + Down
Send document web view link in email, שלח קישור למסמך תצוגת אינטרנט דרך הדואר האלקטרוני
Owner, בעלים
Page {0} of {1}, דף {0} של {1}
Cancelled, בוטל
Did not add, לא להוסיף
No template found at path: {0}, לא נמצאה תבנית בנתיב: {0}
Open Link, פתח קישור
Region, אזור
Index, מדד
repeat, חזור
Female, נקבה
Pages in Desk (place holders), דפים בשולחן העבודה (תופסים מקום)
Module Not Found, מודול לא נמצא
Please enable pop-ups, אנא אפשר חלונות קופצים
First Name, שם פרטי
Internal record of document shares, תיעוד פנימי של שיתוף המסמך
Page Name, שם הדף
Re:, Re:
Hide Copy, עותק מוסתר
Monthly, חודשי
Purchase Master Manager, מנהל רכש
Cannot cancel before submitting. See Transition {0}, לא ניתן לבטל לפני הגשה. ראה מעבר {0}
Max 500 records at a time, לא ניתן לעדכן יותר מ-500 רשומות בבת אחת
Method, שיטה
Email Group, קבוצת דואר אלקטרוני
Modules, מודולים
Forgot Password?, שכחת את הסיסמא?
Actions, פעולות
Please do not change the template headings., נא לא לשנות את כותרות התבנית.
Notify if unreplied for (in mins), נא להודיע אם לא התקבלה תגובה ל-(בדקות)
Category, קָטֵגוֹרִיָה
Hide Footer Signup, הסתר חתימה בכותרת התחתונה
Room, חדר
Notify by Email, העבר הודעה בדואר האלקטרוני
System User, משתמש מערכת
Text Editor, עורך הטקסט
File '{0}' not found, הקובץ '{0}' לא נמצא במערכת
Old Password, סיסמא ישנה
hand-right, צד ימין
Export, ייצא
Please make sure that there are no empty columns in the file., אנא ודא שאין עמודות ריקות בקובץ.
Open a module or tool, פתח מודול או כלי
Value missing for, חסר ערך ל
Add New Permission Rule, הוסף כלל הרשאות חדש
updated to {0}, עודכן ל- {0}
Timeline field must be a Link or Dynamic Link, שדה ציר הזמן חייב להיות קישור או קישור דינמי
Pay, שלם
"e.g. ""Support"", ""Sales""
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node, ניתן למזג רק בין קבוצה לקבוצה או ישות קצה לישות קצה
Default for {0} must be an option, ברירת מחדל עבור {0} חייב להיות אופציה
HTML for header section. Optional, HTML למקטע הכותרת. אופציונאלי
Standard roles cannot be disabled, תפקידים רגילים לא יכולים להיות חסומים
{0} has left the conversation in {1} {2}, {0} עזב את השיחה ב {1} {2}
Please refresh to get the latest document., אנא רענן כדי לקבל את המסמך האחרון.
Format Data, פורמט הנתונים
Please click on the following link to set your new password, אנא לחץ על הקישור הבא כדי להגדיר את הסיסמה החדשה שלך
Page not found, דף לא נמצא
Set Password, הגדר סיסמא
Script to attach to all web pages., סקריפט לצירוף לכל דפי האינטרנט.
Condition, תנאי
Try to use a longer keyboard pattern with more turns, נסה להשתמש בדפוס מקלדת עם גיוון רב יותר
Select an existing format to edit or start a new format., בחר בפורמט קיים כדי לערוך או צור פורמט חדש.
List of backups available for download, רשימה של גיבויים זמינים להורדה
Created, נוצר
{0} is mandatory, יש להזין את {0}
"States for workflow (e.g. Draft, Approved
Filter..., סנן ...
Append To can be one of {0}, 'צרף ל' יכול להיות אחד מ-{0}
Daily Event Digest is sent for Calendar Events where reminders are set., לקט אירועים יומי נשלח ליומן האירועים והוגדרו שם תזכורות.
Cannot map because following condition fails:, לא ניתן למפות בגלל שהתנאי הבא נכשל:
Blog Title, כותרת בלוג
remove, הסר
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles., הרשאות ברמות גבוהות יותר הן הרשאות ברמת השדה. לכל השדות מוגדרת רמת הרשאה למולם וכללים שהוגדרו לחול על השדה. דבר זה שימושי במקרה שתרצה להסתיר או להגדיר שדה מסוים לקריאה בלבד לבעלי תפקידים מסוימים.
Are you sure you want to delete the attachment?, האם אתה בטוח שאתה רוצה למחוק את הקובץ המצורף?
Duplicate name {0} {1}, שכפל את השם {0} {1}
Set Quantity, הגדר כמות
Add custom forms., הוסף טפסים מותאמים אישית.
Percent, אחוזים
Assign to me, הקצה לי
Update many values at one time., עדכון ערכים רבים בבת אחת.
Permanently Submit {0}?, {0} מוגש באופן קבוע?
envelope, מעטפה
Sample, דוגמה
In, ב
Activity Log, יומן פעילות
heart, לב
Download with data, הורד עם נתונים
"Your query has been received. We will reply back shortly. If you have any additional information, please reply to this mail."
Settings for Contact Us Page, הגדרות לדף צרו קשר
Password cannot be more than 100 characters long, סיסמא לא יכולה להיות ארוכה יותר מ -100 תווים
Delete, מחק
User ID, מזהה משתמש
PDF generation failed because of broken image links, יצירת ה-PDF נכשלה בגלל קישורי תמונה שבורים
Shared with {0}, משותף עם {0}
{0} {1} already exists, {0} {1} כבר קיים
Item cannot be added to its own descendents, לא ניתן להוסיף פריט לפריטי הבת שלו
New Report name, שם דוח חדש
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext
Bulk Rename, שינוי שם גורף
File Name, שם קובץ
align-right, יישור לימין
Commented on {0}: {1}, תגובות על {0}: {1}
Print with letterhead, הדפס עם נייר מכתבים
Dates are often easy to guess., לעתים קרובות קל לנחש תאריכים.
Fields, שדות
File URL, כתובת הקובץ
A word by itself is easy to guess., קל לנחש מילה בפני עצמה.
Total Subscribers, סך כל המנויים
"Select your Country, Time Zone and Currency"
Select Languages, בחר שפה
Add Another Comment, הוסף עוד הערה
View, הצג
Days Before or After, ימים לפני או אחרי
"Please enter both your email and message so that we \ 				can get back to you. Thanks!", אנא הזן את ההודעת שלך ואת כתובת הדואר האלקטרוני ונוכל לחזור אליך. תודה!
"If these instructions where not helpful, please add in your suggestions on GitHub Issues."
pencil, עיפרון
You can only upload upto 5000 records in one go. (may be less in some cases), אתה יכול רק להעלות upto 5000 רשומות במכה אחת. (יכול להיות פחות במקרים מסוימים)
th-large, th-large
Column, עמודה
Redirect URL, כתובת אתר להפניה מחדש
Fold, מקפלים
Milestone, אבן דרך
Report was not saved (there were errors), הדוח לא נשמר (כיוון שהיו בו טעויות)
Check which Documents are readable by a User, בדוק מהם המסמכים הניתנים לקריאה על ידי המשתמש
Applicable For, ישים ל
You have unsaved changes in this form. Please save before you continue., ישנם שינויים שלא נשמרו בטופס זה. אנא שמור לפני שתמשיך.
Address and other legal information you may want to put in the footer., כתובת ומידע משפטי נוסף שייתכן ותרצה להוסיף בכותרת התחתונה.
Please select a valid csv file with data, אנא בחר קובץ CSV תקף עם נתונים
Email Account, חשבון דואר אלקטרוני
Allow Print for Cancelled, אפשר הדפסה עבור מסמך שבוטל
Group, קבוצה
You need to be logged in to access this {0}., אתה צריך להיות מחובר כדי לגשת ל-{0}.
Send days before or after the reference date, שלח הודעה מספר ימים לפני או אחרי תאריך היעד
Embed image slideshows in website pages., שבץ תמונות מתחלפות בעמודי האתר.
Domains, תחומים
e.g. replies@yourcomany.com. All replies will come to this inbox., למשל replies@yourcomany.com. כל התשובות יגיעו לתיבת דואר נכנסת זאת.
"target = ""_blank""", יעד = 'ריק;
Print, הדפס
Settings for Contact Us Page., הגדרות לדף צרו קשר.
{0} subscribers added, {0} מנויים נוספו
Next State, המצב הבא
State, מצב
Symbol, סמל
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""", הוסף את שמו של 'Google Web Font' למשל 'Open Sans'
Invalid Token, מפתח לא חוקי
Invalid User Name or Support Password. Please rectify and try again., שם משתמש או סיסמת תמיכה לא חוקיים. אנא תקן ונסה שנית.
Security, אבטחה
Allowed, מאושר
Search results for, תוצאות חיפוש עבור
Default Inbox, תיבת הדואר הנכנס המוגדרת כברירת מחדל
Due Date, תאריך יעד
Saved, נשמר
Enable Outgoing, אפשר דואר יוצא
Email ID, מזהה דואר אלקטרוני
Continue, המשך
"On {0}, {1} wrote:"
Not in Developer Mode, לא במצב מפתחים
Misc, Misc
bullhorn, מגאפון
Currency Name, שם המטבע
Last Updated On, עודכן לאחרונה ב
Single Types have only one record no tables associated. Values are stored in tabSingles, לסוגים בודדים יש רק רשומה אחת ללא טבלה. הערכים נשמרים ב-tabSingles
User Cannot Search, משתמש לא יכול חפש
resize-small, גודל חדש-קטן
"document type..., e.g. customer"
Cannot open instance when its {0} is open, "לא יכול לפתוח
Portal Settings, הגדרות פורטל
Confirm, אשר
Or login with, או התחבר עם
Custom Reports, דוחות מותאמים אישית
Participants, משתתפים
Permissions, הרשאות
Error Report, דוח שגיאות
Submitting, מגיש
'In List View' not allowed for type {0} in row {1}, הקטגוריה 'ברשימת צפייה' אינה חוקית עבור הסוג {0} בשורה {1}
Is Custom Field, האם שדה מותאם אישית
{0} un-shared this document with {1}, {0} ביטל שיתוף מסמך זה עם {1}
Workflow will start after saving., זרימת העבודה תתחיל לאחר השמירה.
Standard roles cannot be renamed, לא ניתן לשנות את שמות התפקידים סטנדרטיים
"Default: ""Contact Us""", ברירת מחדל: 'צור קשר'
Warehouse, מחסן
Link to the page you want to open. Leave blank if you want to make it a group parent., קישור לדף שברצונך לפתוח. השאר ריק אם אתה רוצה להפוך אותו לקבוצת אב.
Sort Field, מיין שדה
Replied, התקבלה תגובה
About Us Team Member, אודות חברי הצוות
"Customize Label, Print Hide
Rules defining transition of state in the workflow., כללים המגדירים מעבר מצבים בזרימת העבודה.
Number Format, פורמט המספר
Goal, מטרה
Not active, לא פעיל
Office, משרד
Send, שלח
Upload, העלה
Depends On, תלוי ב
Section Break, מעבר מקטע
Label Help, עזרה בשימוש בתוויות
Workflow, זרימת עבודה
minus-sign, סימן מינוס
shopping-cart, עגלת קניות
Avoid years that are associated with you., הימנע משנים המקושרות אליך.
Hidden, מוסתר
